x,y,time,wildfires_sum
123000.0,394000.0,2018-07-21,1.0
123000.0,482000.0,2018-07-21,1.0
131000.0,402000.0,2018-07-21,1.0
133000.0,402000.0,2018-07-21,1.0
133000.0,444000.0,2018-07-21,1.0
135000.0,394000.0,2018-07-21,1.0
137000.0,374000.0,2018-07-21,1.0
137000.0,408000.0,2018-07-21,1.0
141000.0,416000.0,2018-07-21,1.0
141000.0,460000.0,2018-07-21,2.0
145000.0,412000.0,2018-07-21,1.0
145000.0,460000.0,2018-07-21,1.0
151000.0,380000.0,2018-07-21,1.0
151000.0,386000.0,2018-07-21,1.0
151000.0,462000.0,2018-07-21,1.0
153000.0,460000.0,2018-07-21,1.0
153000.0,482000.0,2018-07-21,1.0
155000.0,414000.0,2018-07-21,1.0
155000.0,460000.0,2018-07-21,1.0
157000.0,450000.0,2018-07-21,1.0
159000.0,390000.0,2018-07-21,1.0
159000.0,404000.0,2018-07-21,1.0
159000.0,414000.0,2018-07-21,1.0
163000.0,372000.0,2018-07-21,1.0
163000.0,394000.0,2018-07-21,1.0
163000.0,422000.0,2018-07-21,1.0
165000.0,444000.0,2018-07-21,1.0
165000.0,540000.0,2018-07-21,1.0
167000.0,386000.0,2018-07-21,1.0
169000.0,360000.0,2018-07-21,1.0
169000.0,370000.0,2018-07-21,1.0
169000.0,410000.0,2018-07-21,1.0
171000.0,410000.0,2018-07-21,1.0
171000.0,452000.0,2018-07-21,1.0
171000.0,480000.0,2018-07-21,2.0
173000.0,362000.0,2018-07-21,1.0
173000.0,364000.0,2018-07-21,1.0
173000.0,390000.0,2018-07-21,1.0
175000.0,388000.0,2018-07-21,2.0
175000.0,390000.0,2018-07-21,1.0
175000.0,404000.0,2018-07-21,1.0
177000.0,386000.0,2018-07-21,1.0
177000.0,390000.0,2018-07-21,2.0
177000.0,392000.0,2018-07-21,1.0
179000.0,384000.0,2018-07-21,1.0
179000.0,390000.0,2018-07-21,1.0
179000.0,396000.0,2018-07-21,1.0
179000.0,444000.0,2018-07-21,2.0
181000.0,362000.0,2018-07-21,1.0
181000.0,378000.0,2018-07-21,2.0
181000.0,386000.0,2018-07-21,1.0
181000.0,444000.0,2018-07-21,1.0
181000.0,452000.0,2018-07-21,1.0
181000.0,528000.0,2018-07-21,1.0
183000.0,378000.0,2018-07-21,1.0
183000.0,394000.0,2018-07-21,1.0
185000.0,322000.0,2018-07-21,1.0
185000.0,364000.0,2018-07-21,1.0
185000.0,488000.0,2018-07-21,1.0
189000.0,390000.0,2018-07-21,1.0
189000.0,452000.0,2018-07-21,1.0
191000.0,376000.0,2018-07-21,1.0
191000.0,406000.0,2018-07-21,2.0
191000.0,570000.0,2018-07-21,1.0
193000.0,322000.0,2018-07-21,1.0
193000.0,324000.0,2018-07-21,1.0
193000.0,378000.0,2018-07-21,1.0
193000.0,404000.0,2018-07-21,1.0
193000.0,462000.0,2018-07-21,1.0
193000.0,570000.0,2018-07-21,1.0
195000.0,350000.0,2018-07-21,1.0
195000.0,354000.0,2018-07-21,1.0
195000.0,374000.0,2018-07-21,1.0
195000.0,446000.0,2018-07-21,1.0
195000.0,484000.0,2018-07-21,1.0
197000.0,324000.0,2018-07-21,1.0
197000.0,352000.0,2018-07-21,1.0
197000.0,356000.0,2018-07-21,1.0
197000.0,360000.0,2018-07-21,1.0
201000.0,348000.0,2018-07-21,1.0
201000.0,378000.0,2018-07-21,1.0
201000.0,570000.0,2018-07-21,1.0
203000.0,536000.0,2018-07-21,1.0
205000.0,380000.0,2018-07-21,1.0
205000.0,610000.0,2018-07-21,3.0
207000.0,372000.0,2018-07-21,1.0
209000.0,372000.0,2018-07-21,1.0
209000.0,462000.0,2018-07-21,1.0
211000.0,374000.0,2018-07-21,1.0
213000.0,594000.0,2018-07-21,1.0
